column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-NECTIN,NECTIN,s,5.555965490152085,5.720761162222659,-0.1647956720705741,-0.04216947579791317,-0.15823515721495696,0.0,0.0,0.15823515721495696
s-TRH,TRH,s,0.016753555050758286,0.019959348093626938,-0.0032057930428686515,-0.25259732340584334,-0.15536629757236087,0.0,0.0,0.15536629757236087
r-ANNEXIN,ANNEXIN,r,0.01385173967533944,0.014071130896936917,-0.00021939122159747582,-0.022671101619758504,0.15509578648582267,0.0,0.0,0.15509578648582267
r-IL16,IL16,r,0.10444331646655065,0.13191323671886457,-0.027469920252313915,-0.33686916049145765,-0.15426768119369072,0.0,0.0,0.15426768119369072
r-GALANIN,GALANIN,r,0.008000475602588751,0.006863816067381798,0.0011366595352069533,0.2210748434366417,0.152729779112454,0.0,0.0,0.152729779112454
s-OPIOID,OPIOID,s,1.1673261267400874,1.0850208174652218,0.08230530927486557,0.10548495355345888,0.15216411948338027,0.0,0.0,0.15216411948338027
s-CD22,CD22,s,0.00642357981204922,0.007564190244404522,-0.001140610432355302,-0.23580809020614074,-0.15080218058535566,0.0,0.0,0.15080218058535566
r-LCK,LCK,r,0.009257851175186712,0.010474236978840328,-0.0012163858036536163,-0.17809585719154777,-0.1503432841847413,0.0,0.0,0.1503432841847413
r-SELE,SELE,r,0.023863039027391453,0.025839289880648722,-0.0019762508532572692,-0.1147886314440518,-0.15007251114427822,0.0,0.0,0.15007251114427822
r-AMH,AMH,r,0.0059396684300157595,0.00847260112078444,-0.00253293269076868,-0.5124224800736379,-0.14915592425024127,0.0,0.0,0.14915592425024127
r-IL10,IL10,r,0.013490884337464714,0.011537265022392974,0.0019536193150717397,0.22568363797260954,0.149086655360245,0.0,0.0,0.149086655360245
r-PECAM1,PECAM1,r,0.05572279227972608,0.07421341685383732,-0.018490624574111242,-0.41341247164798556,-0.1483059265035045,0.0,0.0,0.1483059265035045
s-PECAM1,PECAM1,s,0.05572279227972608,0.07421341685383732,-0.018490624574111242,-0.41341247164798556,-0.1482780743673222,0.0,0.0,0.1482780743673222
s-SEMA7,SEMA7,s,1.086112851095528,0.9926781199877529,0.09343473110777512,0.12977611327301114,0.14732068516227437,0.0,0.0,0.14732068516227437
r-PTN,PTN,r,6.624916947297905,6.765154608117135,-0.1402376608192304,-0.030220536890986405,-0.14730925569891562,0.0,0.0,0.14730925569891562
r-RELN,RELN,r,0.22848537078672168,0.20734647140143514,0.02113889938528654,0.1400583004513445,0.14478366047962443,0.0,0.0,0.14478366047962443
r-MK,MK,r,3.4482134498828065,3.598975939741908,-0.15076248985910157,-0.0617373751155617,-0.14452159074342696,0.0,0.0,0.14452159074342696
r-AGRN,AGRN,r,0.8149107074115503,0.8339291703568573,-0.01901846294530707,-0.033282866844462175,-0.1410017682441419,1.4777982019303867e-302,2.5667021401948823e-302,0.1410017682441419
r-EPGN,EPGN,r,0.015460547970946214,0.01765893754600418,-0.002198389575057965,-0.19180708003974886,-0.13958886781849977,1.4432819969744944e-296,2.4958064227157195e-296,0.13958886781849977
r-NRXN,NRXN,r,14.641937961045087,14.47047289525847,0.17146506578661835,0.016994446920982603,0.13877106053259802,3.96986121206889e-293,6.835065391214262e-293,0.13877106053259802
r-CD226,CD226,r,1.4540201115289981,1.4012200450958563,0.052800066433141835,0.05336369242752047,0.13801014412438395,6.036880699802959e-290,1.0348938342519358e-289,0.13801014412438395
s-ALCAM,ALCAM,s,0.035269098379221195,0.03812646718148218,-0.002857368802260986,-0.11238815819336691,-0.13766281252171753,1.688471229383593e-288,2.8696764241884236e-288,0.13766281252171753
r-CD6,CD6,r,0.03526909837927639,0.03812646718148219,-0.002857368802205801,-0.11238815819110957,-0.13766281252171753,1.688471229383593e-288,2.8696764241884236e-288,0.13766281252171753
r-CD86,CD86,r,0.011170538710383784,0.015086873345912504,-0.00391633463552872,-0.4335950514630885,-0.13689303196033664,2.6348524459732224e-285,4.458981062416223e-285,0.13689303196033664
s-ACTIVIN,ACTIVIN,s,3.5938028725967306,3.821174764094674,-0.22737189149794323,-0.088504965586713,-0.13551665434579396,1.2183959295258855e-279,2.0531267578393644e-279,0.13551665434579396
s-APJ,APJ,s,0.0013878071089444297,0.0017849591724758008,-0.00039715206353137114,-0.3630837825145963,-0.13359847145380999,7.682478545195417e-272,1.2890938575836376e-271,0.13359847145380999
r-CD22,CD22,r,0.00642357981204922,0.007564190244404522,-0.001140610432355302,-0.23580809020614074,-0.1325072642351025,1.8751157270708573e-267,3.133104759156369e-267,0.1325072642351025
r-CCK,CCK,r,0.03354024739272057,0.036393422827229974,-0.002853175434509407,-0.11778441042642565,-0.13088290357157084,5.466593539371796e-261,9.095676645341308e-261,0.13088290357157084
s-IL10,IL10,s,0.013490884337464714,0.011537265022392974,0.0019536193150717397,0.22568363797260954,0.12939666523829785,3.827914812914683e-255,6.342486468260312e-255,0.12939666523829785
r-PDGF,PDGF,r,0.3032212100970136,0.3670933396618518,-0.06387212956483823,-0.2757762659091793,-0.12861118858155896,4.418313412105691e-252,7.290217129974391e-252,0.12861118858155896
s-NPY,NPY,s,1.1186289846435746,1.4493121698495341,-0.3306831852059595,-0.3736367552504526,-0.12339965109023987,3.102793688311951e-232,5.0983663924129984e-232,0.12339965109023987
r-DSPP,DSPP,r,0.008730317432310437,0.01024112640545297,-0.0015108089731425325,-0.23026836347744284,-0.12275710384806726,7.619976642867467e-230,1.2469052688328582e-229,0.12275710384806726
s-GP1BA,GP1BA,s,0.018487440516072012,0.022421502227637814,-0.003934061711565802,-0.27833742200523404,-0.12258767756420419,3.2368654190666684e-229,5.274891794034571e-229,0.12258767756420419
s-CXCL,CXCL,s,0.316298533269598,0.29264631519602413,0.023652218073573872,0.11212875213379163,0.12168920041818132,6.71241617408253e-226,1.0893921331707711e-225,0.12168920041818132
s-FSH,FSH,s,0.003556382911969395,0.004460201219876065,-0.00090381830790667,-0.32669804994399915,-0.12119738881753994,4.2864957619862893e-224,6.92837682345539e-224,0.12119738881753994
r-SEMA5,SEMA5,r,0.8164527865497744,0.9296089949342478,-0.11315620838447338,-0.18725456746607322,-0.12101683087056969,1.96345033529825e-223,3.1606761495045e-223,0.12101683087056969
s-NOTCH,NOTCH,s,2.969953036025062,3.0998717927391706,-0.12991875671410869,-0.061768430628033555,-0.12069331042011633,2.9838723335278574e-222,4.783860097477861e-222,0.12069331042011633
r-SELL,SELL,r,0.138929025976861,0.15122920368432766,-0.012300177707466664,-0.1223887144094182,-0.1197219126544693,1.0095881877563147e-218,1.612084364320567e-218,0.1197219126544693
r-BAFF,BAFF,r,0.06755393132083275,0.07740632641143769,-0.00985239509060494,-0.19641174973902775,-0.11962385824509492,2.2846630580598867e-218,3.633440044143434e-218,0.11962385824509492
r-DMP1,DMP1,r,0.005271799019112506,0.006274112496546515,-0.0010023134774340093,-0.2511159831988436,-0.1193382264426972,2.4566508973636594e-217,3.891335021424036e-217,0.1193382264426972
r-WNT,WNT,r,29.87429712781946,31.171898092267377,-1.2976009644479163,-0.06134123471470126,-0.1183858033325852,6.487965713009099e-214,1.023599371454822e-213,0.1183858033325852
s-ITGB2,ITGB2,s,0.07226446222106768,0.07026400659994173,0.0020004556211259544,0.04050049680502156,0.1182854382138514,1.4828461816664544e-213,2.3301868569044282e-213,0.1182854382138514
r-VIP,VIP,r,0.02149250698959151,0.02488205367722326,-0.0033895466876317504,-0.21127178073140765,-0.11463987783057183,1.0107356326294155e-200,1.5820209902025632e-200,0.11463987783057183
s-FN1,FN1,s,3.3305065991314646,3.4899269799733,-0.1594203808418353,-0.06745521060538719,-0.1146083744243298,1.299548915748979e-200,2.0260683883330536e-200,0.1146083744243298
s-VEGI,VEGI,s,0.005845428505832368,0.007139195299218531,-0.0012937667933861632,-0.2884526369843162,-0.11387650043416797,4.377353253974461e-198,6.797772112054457e-198,0.11387650043416797
s-MHC-I,MHC-I,s,1.3027769804272764,1.4106948810923274,-0.10791790066505103,-0.11481584817531364,-0.1138098276454389,7.424262428395946e-198,1.148440594392498e-197,0.1138098276454389
s-ENHO,ENHO,s,0.586982081545111,0.6088636419545026,-0.0218815604093916,-0.05280270176773902,-0.11289677115500141,9.98327481405368e-195,1.5382789207646916e-194,0.11289677115500141
