column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-CHEMERIN,CHEMERIN,s,0.15092058955914628,0.11469343419253314,0.03622715536661314,0.3960068336715489,0.10211663472716048,4.913756143327965e-60,9.135433956609738e-60,0.10211663472716048
r-AMH,AMH,r,0.006462653216475836,0.0048632980553198705,0.0015993551611559655,0.41019149355531015,0.10190764578276923,8.500374754714422e-60,1.572966543395753e-59,0.10190764578276923
r-BRADYKININ,BRADYKININ,r,0.004269226305737142,0.0032137941895223785,0.0010554321162147638,0.4096969867022557,0.10162093196885169,1.7996931031934158e-59,3.314783576114385e-59,0.10162093196885169
s-NPR2,NPR2,s,0.0034121650013803815,0.00318342114893591,0.00022874385244447135,0.10010935193729183,-0.10090722384081485,1.153845600160976e-58,2.115383600295123e-58,0.10090722384081485
s-OSTN,OSTN,s,0.16714669641567417,0.18765900918378392,-0.020512312768109747,-0.16699871125758511,-0.1003449162682335,4.942439229337994e-58,9.019382188100671e-58,0.1003449162682335
s-GALANIN,GALANIN,s,0.01666664247797485,0.011436696209631997,0.005229946268342852,0.5432931088558762,0.09979958973136771,2.0105224495658487e-57,3.652141697376496e-57,0.09979958973136771
r-CD70,CD70,r,0.011889785762585073,0.009685691017456099,0.0022040947451289743,0.29579580687223317,0.09950559225085964,4.2703670641502236e-57,7.72175962284698e-57,0.09950559225085964
r-EPO,EPO,r,0.00829632973926917,0.006845564632440329,0.0014507651068288415,0.27730365659544254,0.09911639031697939,1.1536936968428218e-56,2.076648654317079e-56,0.09911639031697939
s-GPR,GPR,s,0.16508099421553513,0.1846706421564262,-0.019589647940891075,-0.16178050027164778,-0.09810591837429539,1.4957862637565898e-55,2.6802324002154277e-55,0.09810591837429539
r-ANNEXIN,ANNEXIN,r,0.054808326636055345,0.03421780542647257,0.020590521209582775,0.6796478373762076,0.09466448318798415,7.583554302653921e-52,1.3527421188517804e-51,0.09466448318798415
r-CALCR,CALCR,r,0.21254617122024017,0.1679331539276603,0.044613017292579854,0.3398891887848933,0.09426883660753815,1.98340999737872e-51,3.5221092330133324e-51,0.09426883660753815
s-GRN,GRN,s,0.21717235042582597,0.18592533902508956,0.031247011400736407,0.2241170323355045,0.0925368804019513,1.2729196723058898e-49,2.250340134969341e-49,0.0925368804019513
r-NPFF,NPFF,r,0.06650048157995637,0.07675905892536204,-0.010258577345405667,-0.2069722328494386,-0.09173189540703419,8.58099870277083e-49,1.510255771687666e-48,0.09173189540703419
r-AGT,AGT,r,0.007497910165898587,0.005239559055466287,0.0022583511104323,0.5170430532806167,0.09065177872245211,1.0820601974644348e-47,1.8959992840527264e-47,0.09065177872245211
r-SEMA5,SEMA5,r,2.7766517567403914,2.593583307368059,0.18306844937233224,0.0983995373125828,0.09049051056192448,1.5757471303711209e-47,2.748880456506449e-47,0.09049051056192448
r-COLLAGEN,COLLAGEN,r,39.50244158229431,36.60186378535337,2.9005777969409365,0.1100247135612361,0.09046097462511615,1.68791862510828e-47,2.93164813834596e-47,0.09046097462511615
r-WNT,WNT,r,30.470718870983617,29.432936524580725,1.0377823464028921,0.04999204959145454,0.09038436236910075,2.0173081256387592e-47,3.488445492370955e-47,0.09038436236910075
r-THPO,THPO,r,0.01371740450540798,0.013916044604331303,-0.00019864009892332259,-0.020741674338946452,-0.09033009966098726,2.288591382134648e-47,3.9403573361970457e-47,0.09033009966098726
s-RLN,RLN,s,0.03985490319895487,0.027589853782067714,0.012265049416887157,0.5306193975299396,0.09022975772992803,2.8894188784375e-47,4.953289505892857e-47,0.09022975772992803
s-VTN,VTN,s,0.4848676693596708,0.5203768470712296,-0.03550917771155876,-0.1019657149645582,-0.0902260307786592,2.91453147785625e-47,4.9748037294442885e-47,0.0902260307786592
r-CHAD,CHAD,r,0.030603076391891988,0.017517994578141485,0.013085081813750503,0.8048390249393035,0.0896477088673473,1.1114326130516045e-46,1.8889584324825555e-46,0.0896477088673473
s-GCG,GCG,s,0.011644800649577914,0.008694407111733554,0.00295039353784436,0.4215263439784855,0.08923095910932544,2.900639935178872e-46,4.908775274918091e-46,0.08923095910932544
r-CLDN,CLDN,r,0.07927859063758819,0.06673842085499503,0.01254016978259316,0.2484137617578567,0.08903778386844174,4.518064552475692e-46,7.613419416086698e-46,0.08903778386844174
s-CLDN,CLDN,s,0.07927859063758819,0.06673842085499503,0.01254016978259316,0.2484137617578567,0.08902857896759198,4.614374869524658e-46,7.742764611575275e-46,0.08902857896759198
r-JAM,JAM,r,11.251973234241987,11.462805274307472,-0.21083204006548506,-0.02678212984865768,-0.0889545810493344,5.4666253234522306e-46,9.134108135388537e-46,0.0889545810493344
r-CD48,CD48,r,0.0022396555320068944,0.0030689583628005696,-0.0008293028307936753,-0.4544720414573124,-0.08863134554492524,1.1442846336549167e-45,1.9039357770056598e-45,0.08863134554492524
